"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080211,"Almonds in shell fresh or dried",30
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080212,"Almonds,fresh or dried, shelled",30
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",2081330,"Apples, dried",30
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",2080810,"Apples, fresh",30
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",2081310,"Apricots, dried",30
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",2080910,"Apricots, fresh",30
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",2071490,"Arrowroot, salep, etc fresh or dried and sago pith",30
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070920,"Asparagus, fresh or chilled",30
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070930,"Aubergines(egg-plants), fresh or chilled",30
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",2080440,"Avocados, fresh or dried",30
